••••o MetroPCS ? 11:35 AM @ 1
Q 8th grade supplies
8 Grade Supply List
2012/2013
I- 12 Pencils,Pencils,Multiple
TI -84 Plus Graphing Calculator
Blue or Black Pens,Blue Black Pens,Multiple
1 Red 1'en,Red,1
_ 24 -Count 'lox of Colored Pencils,lox Colored Pencils,24
8 -Count Box of Fine -Tip Markers,Fine Tip Markers,8
Yellow highlighter,Yellow highlighter,1
Graph Paper,Graph Paper,Multiple
2 Five Star Notebooks,Five Star Notebooks,2
"2"" Floppy loose leaf binders",Floppy loose leaf binders,2
Ruler (StardardiMetrie),Ruler,1
"Loose -Leaf Filler Paper, College Ruled",Loose Leaf Filler Paper College Ruled,1
I Flash/USD Drive,Flash Drive,1
"White 4""s6' Index Cards",White Index Cards,Multiple
Pencil Sharpener,Pencil Sharpener,1
6 Folders with Pockets,Folders,6
▪ Box of Tissues (for Homeroom),Tissues,Multiple
_j Protractor,Protractor,1
Nlarble Composition Notebook,Composition Notebook,1
Hole Puncher for Notebook,Hole Puncher,1
J Notebook dividers,Notebook dividers,Multiple
7 Pocket 1)ictionary and Thesaurus,and Thesaurus,1
▪ 5 Subject Notebook,Subject Notebook,5
Please label all items with your child's name. Thank you.
III 5,III,5
