2 packages.ide ruled notebook paper (lo be repienishsd frequently),packages ruled notebook paper,2
1 3• rtn; bander- lam nines,bander lam nines,1
4 2 pocket plastic dritden,pocket plastic,4
1 clipboard foptsoraa>l,clipboard,1
1 red pen,pen,1
2 packs of n r ..As file possij,pack file,2
"1 set colored penal,",colored penal,1
1 bra of crayons 116 count),bra crayons 116,1
1 set d shin /starkers lnon-sc'eeued. water -based)
2 hgtilghters
1 white school slue. f! OS.,slue,1
2 Yep slue sucks,Yep slue sucks,2
1 pan of anssors,pan,1
1 supply case {Alp DOXE1111,case Alp,1
1 an smock Fold shim with name),smock Fold shim,1
1 package 3z5 ruled index cards,ruled index cards,1
"3 Iow .,::.. dry erase markers",dry erase markers,3
3 Composataon black/whits marbled,black whits marbled,3
"1 headphones or ear buds to plug auto computer. inatpenalis, labeled is b"
1 clear ruler,clear ruler,1
lasker Mop OWN/
1 gallon aimed stploc storage bap,aimed storage,1
1 sandwsch used abider spick storage baps,used abider storage,1
1 boot o( us sues,boot,1
