This is NOT a required list but we would really appreciate yoi
following items:
For the Classroom: STI
Th
"❑ Accordion Folder (may consider 2, one for each for",Accordion Folder,1
semester wo,semester,1
❑ Expo/dry erase markers,Expo dry erase markers,Multiple
❑ 1 ream of computer paper,ream computer paper,1
❑ KLEENEX -3 or more boxes
❑ Clorox/Lysol Wipes -at least 2 containers,Clorox Lysol Wipes least containers,Multiple
❑ Ziploc Bags (any size),Ziploc Bags,Multiple
❑ Paper towels - at least one
❑ 4- AAA batteries,AAA batteries,4
O 1 pack (of 100) 3x5 lined note cards,pack lined note cards,Multiple
❑ #2 pencils,pencils,2
❑ Colored pencils,Colored pencils,Multiple
O Colored pens,Colored pens,Multiple
❑ Markers,Markers,Multiple
❑ Highlighters,Highlighters,Multiple
O Pencil top erasers,Pencil top erasers,Multiple
❑ Glue sticks,Glue sticks,Multiple
"O 3"" sticky notes -at least 2 pkgs.",sticky notes least,Multiple
"students will no longer have desks in the 6th grade, v,"
