"This is NOT a required list, but we would really appreciate Voi"
following items:
For the Classroom: STI
Thi
"❑ Accordion Folder (may consider 2, one for each for",Accordion Folder,1
semester) WO
❑ Expo/dry erase markers,Expo dry erase markers,Multiple
❑ 1 ream of computer paper,ream computer paper,1
❑ KLEENEX -3 or more boxes
❑ Clorox/Lysol Wipes -at least 2 containers,Clorox Lysol Wipes least containers,Multiple
❑ Ziploc Bags (any size),Ziploc Bags,Multiple
❑ Paper towels - at least one
❑ 4- AAA batteries,AAA batteries,4
❑ 1 pack (of 100) 3x5 lined note cards,pack lined note cards,1
❑ #2 pencils,pencils,2
❑ Colored pencils,Colored pencils,Multiple
❑ Colored pens,Colored pens,Multiple
❑ Markers,Markers,Multiple
❑ Highlighters,Highlighters,Multiple
❑ Pencil top erasers,Pencil top erasers,Multiple
❑ Glue sticks,Glue sticks,Multiple
"❑ 3"" sticky notes -at least 2 pkgs.",sticky notes least,3
"_. tk ctudents will no longer have desks in the 6` grade,"
