iP4tl f
10:38 PM
"halAgllowlulls k12.""y.us"
1 48%I
Quantity Item,Quantity Item,1
"7 Marble Composition books, hard cover 100 pages",Marble Composition books hard cover 100 pages,7
"60 #2 Pencils, sharpened",Pencils sharpened,60
5 Plastic folders with pockets (different colors),Plastic folders,5
1 Large eraser,Large eraser,1
2 Highlighters,Highlighters,2
"2 boxes Crayons, 24 count",Crayons,2
"3-Z only Supply box 8"" x 5"" X 3"" no larger",only larger,3
"3-C ,3-K ,3-M Supply box 13"" x 5"" x 3"""
1 box Gallon size 20 count closeable bags (Boys only),box size bags,1
1 box Sandwich size closeable bags (Girls only),Sandwich size bags,1
2 boxes Tissues (Girls only),Tissues,2
2 rolls Paper towels ( Boys only),rolls Paper towels,2
12 Glue Sticks,Glue Sticks,12
"1 package Markers, 8 count",Markers,1
1 box Colored pencils,Colored pencils,1
1 Scissor,Scissor,1
2 Black fine point markers,Black fine point markers,2
1 set Earbuds or headphones ( labeled in a re -closeable bag for storage),Earbuds headphones,1
"Please label your child's supply box, notebooks, and folders"
with their full name.
BuS
r3 -A14
• 4 _' �
�l� • x
