ǥoo Verizon f 12:43 PM 57%
11 NtILUTA&LL CALLUM I910 IL ML)
12 ELMER'S 0.77 OZ. (22 GRAM) GLUE STICK,ELMER GLUE STICK,12
2 CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,2
1 BLUNT 5' SCISSORS,BLUNT SCISSORS,1
2 PAPERMATE BLACK FLAIR MED FELT TIP PEN,BLACK FLAIR MED FELT TIP PEN,2
1 EXPO2 LOW ODOR CHISEL TIP DRY ERASE MARKERS 4PK,LOW ODOR CHISEL TIP DRY ERASE MARKERS,1
SECOND GRADE
4 WIDE RULE BLACK MEAD COMP BOOK 100CT,WIDE RULE BLACK MEAD COMP BOOK,4
1 RED PLASTIC POCKET FOLDER,RED PLASTIC POCKET FOLDER,1
1 GREEN PLASM POCKET FOLDER,GREEN PLASM POCKET FOLDER,1
1 YELLOW PLASTIC POCKET FOLDER,YELLOW PLASTIC POCKET FOLDER,1
1 BLUE PLASTIC POCKET FOLDER,BLUE PLASTIC POCKET FOLDER,1
1 PURPLE PLASM POCKET FOLDER,PURPLE PLASM POCKET FOLDER,1
36 NO2 DIXON TICONDEROGA PRESHARPENED PENCIL,DIXON TICONDEROGA PENCIL,36
1 PINK BEVEL ERASER (LATEX FREE),PINK BEVEL ERASER,1
4 ELMER'S SMALL .2102 (6 GRAM) GLUE STICK,ELMER SMALL 2102 GLUE STICK,4
1 ASST PLASTIC SCHOOL BOX 8.5 X 5.75 X 2.5,ASST PLASTIC,1
1 STANDARD LETTER CUPBOARD,STANDARD LETTER CUPBOARD,1
"1 FISKARS 5"" BLUNT SCISSORS",BLUNT SCISSORS,1
1 CRAYOLA CRAYONS 16CT,CRAYOLA CRAYONS,1
1 CRAYOLA CLASSIC THICK MARKERS 10CT,CRAYOLA CLASSIC THICK MARKERS,1
2 BLACK CHISEL TIP DRY ERASE WHITE BOARD MARKER,BLACK CHISEL TIP DRY ERASE WHITE BOARD MARKER,2
