BUSINESS TECHNOLOGY
EARLY COLLEGE HIGH SCHOOL
Materials and supplies needed for the schOO\ )'cal
TO BE USED FOR ALL CLASSES:,USED FOR ALL CLASSES,Multiple
"• One 2"" — 3"" three ring binder with dividers"
• Highlighters,Highlighters,Multiple
• Index cards,Index cards,Multiple
• 1 box of black/blue pens,black blue pens,1
• 6 pocket folders (plastic preferred),pocket folders,6
• Loose-leaf paper,Loose leaf paper,1
"• Lots of Mechanical pencils, lead and eraser",Lots Mechanical pencils lead and eraser,Multiple
• Hand sanitizer,Hand sanitizer,1
• Graphing calculator
• Ruler,Ruler,1
• Graphing paper
• Tissue,Tissue,1
