3 subject notebook,subject notebook,3
Dry erase markers,Dry erase markers,Multiple
Pack of glue sticks,Pack glue sticks,Multiple
Index cards,Index cards,Multiple
3 ring binder with 6 section dividers,ring binder,3
Loose leaf paper (inside binder),Loose leaf paper,1
colored pencils,colored pencils,Multiple
index cards (3x5),index cards,Multiple
highlighter,highlighter,1
5 composition notebooks (the sturdiest you can find),composition notebooks,5
1 pack pencils and an eraser,pack pencils and eraser,1
1 pack black or blue pens,pack black pens,1
1 highlighter or colored pencil,highlighter colored pencil,1
1 pack 3 x 3 inch square sticky notes - if you can donate a second box that would be great.
We use MANY.
Optional but helpful: Glue sticks and small scissors.,Optional but helpful Glue sticks and small scissors,1
2.5 inch 3 -ring binder Just for math,inch ring binder Just,2
5 -tab Notebook dividers,tab Notebook dividers,5
Notebook paper,Notebook paper,1
Graph paper,Graph paper,Multiple
"6"" plastic ruler",plastic ruler,6
Basic calculator,Basic calculator,1
Optional:
3 -hole punch,hole punch,3
Stapler,Stapler,1
One pack of erasable (dry erase) markers and a small dry eraser or dry cloth for them,One pack erasable markers and small dry cloth,Multiple
"A two pocket, three pronged folder with loose-leaf (If you would like to make secfons in the",two pocket three pronged folder,1
here is a link if you are unsure about what a two pocket three pronged folde
"folder you can make one labeled classworklhomework, all for strings, and returned"
graded work),graded work,1
is ot.com
http://www.officedep
"estion=true scissors, highlighters.",true scissors highlighters,Multiple
"Optional: glue sticks, tape,",Optional glue sticks tape,Multiple
A box of crayons OR colored pencils,crayons colored pencils,Multiple
Glue sticks,Glue sticks,Multiple
A two pocket folder,two pocket folder,1
(Pencils should be non -mechanical for art class)
"Tonal and h 1 fuldonations fpape towels, hand soap'",Tonal and towels hand soap,Multiple
"Clorox or lysol wipes,",Clorox wipes,Multiple
